Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,847,1705
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,17017684,11277036
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,8010543,5090154
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,11277036
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,4241702,2040821
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,2232428,5090154
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,501553,465406
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,433899,340789
US-Mexico Border,12/01/2005 12:00:00 AM,Trucks,381580,465406
US-Mexico Border,12/01/2005 12:00:00 AM,Bus Passengers,283645,315714
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Full,242781,340789
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,212874,315714
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Empty,135546,113538
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,120428,68179
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,75459,113538
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,38822,32388
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Empty,37319,32388
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Full,29308,68179
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,24215,2040821
US-Mexico Border,12/01/2005 12:00:00 AM,Buses,22946,18533
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,15162,10740
US-Canada Border,12/01/2005 12:00:00 AM,Buses,8068,18533
US-Canada Border,12/01/2005 12:00:00 AM,Trains,2953,1692
US-Mexico Border,12/01/2005 12:00:00 AM,Train Passengers,1724,10740
US-Mexico Border,12/01/2005 12:00:00 AM,Trains,823,1692
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,16991865,11460614
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicles,8074001,5091921
US-Mexico Border,12/01/2004 12:00:00 AM,Pedestrians,4519993,2059329
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,4407985,11460614
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,2210779,5091921
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,502115,463219
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,423289,335556
US-Mexico Border,12/01/2004 12:00:00 AM,Trucks,355965,463219
US-Mexico Border,12/01/2004 12:00:00 AM,Bus Passengers,292169,320265
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Full,220354,335556
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,201602,320265
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Empty,134507,114582
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,119895,66917
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,72454,114582
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,37255,31609
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Empty,35645,31609
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Full,26466,66917
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,24199,2059329
US-Mexico Border,12/01/2004 12:00:00 AM,Buses,22942,18816
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,12406,10802
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,18816
US-Canada Border,12/01/2004 12:00:00 AM,Trains,2608,1683
